,0
0,alias
1,ayo
2,balhamdulillah
3,banda
4,bangga
5,banyxexxa
6,bapakibu
7,bbaik
8,bdprk
9,bela
10,benih
11,bentah
12,betahe
13,bgagal
14,bicara
15,bjoki
16,bkesabaran
17,bkirakira
18,bkita
19,blincolin
20,bmogamoga
21,bobby
22,booth
23,borjong
24,bppks
25,buuppss
26,bwalopun
27,cari
28,catcalling
29,coba
30,cocok
31,coy
32,crypto
33,cuman
34,cumaxexxa
35,damping
36,dapet
37,daring
38,data
39,ddii
40,dedikasi
41,denger
42,dg
43,dihaxexxa
44,diktilitbang
45,dispubxfxfxxfxfxfxxfxfxfxxfxfxfxxf
46,dominasi
47,dosis
48,dprk
49,dxcxp
50,edi
51,edukasi
52,edunewsxexxa
53,eksistensi
54,emang
55,enak
56,erti
57,exs
58,fakultas
59,figur
60,firihu
61,fungsi
62,gagal
63,gais
64,gelinding
65,geografella
66,geografi
67,ghibah
68,gitu
69,gnti
70,good
71,habibit
72,hak
73,halu
74,haram
75,hebat
76,hidup
77,hizbutxexxa
78,hobi
79,htixexxa
80,husein
81,ikm
82,indo
83,internaxexxa
84,inxexxa
85,ituxexxa
86,jaga
87,jahat
88,jakarta
89,jalan
90,jayanti
91,jenis
92,jual
93,kabar
94,kampuskampus
95,kampuxexxa
96,kandung
97,karet
98,kau
99,kayak
100,kebudayaxexxa
101,kekerasanpaksaan
102,kekerasanxexxa
103,kelapa
104,kelen
105,kemaren
106,kemdikbudristek
107,kemenristedikbud
108,kemuliaanxexxa
109,kendari
110,kerenkerenxexxa
111,kereta
112,kh
113,koarkoar
114,komprehensif
115,konsep
116,koq
117,ks
118,kubu
119,kuisionerku
120,kumpul
121,kunjung
122,latar
123,lawan
124,liberalisasi
125,lincolin
126,lingkxexxa
127,logika
128,loh
129,mahfud
130,mandiri
131,manggutmanggut
132,mantik
133,marah
134,marga
135,mas
136,massa
137,masyarakat
138,mbak
139,mending
140,menko
141,mes
142,mika
143,mineral
144,miskonsepsi
145,mohonxexxa
146,monitoring
147,muda
148,muhammadiyaxexxa
149,mui
150,muncul
151,muslimah
152,muslimahnews
153,mustofa
154,ngelindungin
155,ngga
156,ni
157,noenemypolicy
158,note
159,noxexxa
160,nuduh
161,nurvika
162,nxexxa
163,nya
164,nyata
165,official
166,oleo
167,orator
168,orid
169,out
170,paksa
171,panel
172,panitia
173,partisipasi
174,payung
175,pelakuxexxa
176,pelintir
177,penanganaxexxa
178,penanxexxa
179,pencegahaxexxa
180,penjahatpenjahat
181,peran
182,perangkat
183,permendibudristek
184,permendikbudristxexxa
185,permendikbudrxexxa
186,permendikdubristek
187,permendikxexxa
188,permxexxa
189,persen
190,perspektif
191,pertor
192,perzinahanfree
193,pgri
194,polemik
195,policy
196,polisi
197,politis
198,ppksberbeda
199,ppkskebetulan
200,presiden
201,proxexxa
202,pulak
203,pupuk
204,pusat
205,radikalisme
206,raisha
207,rebak
208,rebut
209,resah
210,ria
211,ribut
212,riset
213,risi
214,ristekxexxa
215,ruang
216,rundung
217,sah
218,sahabat
219,sahkan
220,salute
221,sarat
222,sasar
223,satu
224,sayang
225,sayap
226,sby
227,sebanyakxcxbnya
228,sebelas
229,sebenernya
230,sederhana
231,sehat
232,seks
233,sekxexxa
234,seleksi
235,seminar
236,sempat
237,semuaxexxa
238,sepele
239,serang
240,serius
241,serta
242,sesuai
243,simalungun
244,sinyalir
245,soka
246,somasi
247,sosial
248,speak
249,staf
250,subur
251,sumut
252,supaya
253,sxexxa
254,syariah
255,tahan
256,tahu
257,tahunxexxa
258,takut
259,talk
260,tanah
261,tanggap
262,tani
263,tapi
264,tapxexxa
265,taut
266,tbm
267,tegas
268,teken
269,teman
270,temanteman
271,tengok
272,terang
273,terap
274,termasukxexxa
275,termaxexxa
276,terorist
277,tetap
278,th
279,thn
280,tidak
281,timpa
282,tintasiyasi
283,titik
284,top
285,topik
286,tpks
287,tuai
288,tuding
289,tugas
290,tuh
291,tumbuh
292,tunggal
293,turuxexxa
294,tweet
295,uho
296,ulah
297,ulang
298,unggul
299,universitas
300,universitasxexxa
301,unsika
302,urgensi
303,urus
304,usung
305,utama
306,uxexxa
307,video
308,wajib
309,wakixexxa
310,walkot
311,workshop
312,wujud
313,xexxcbebas
314,xfxfxaxbxfxfxaxbxfxfxaxb
315,yaa
316,yaah
317,yap
318,yod
319,zamrun
320,zinaxexxa
